date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:38:11	3395/3395	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Aug%202018%2005:38:09%20GMT	http://casadoalgoritmo.000webhostapp.com/robots.txt		(from )
02:38:11	31944/31944	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2005:38:10%20GMT	http://casadoalgoritmo.000webhostapp.com/	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/index.html	(from )
02:38:12	31000/31000	---MCZ	200	added ('OK')	text/css	date:Sat,%2018%20Aug%202018%2005:18:31%20GMT	http://casadoalgoritmo.000webhostapp.com/vendor/font-awesome/css/font-awesome.min.css	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/vendor/font-awesome/css/font-awesome.min.css	(from http://casadoalgoritmo.000webhostapp.com/)
02:38:13	11184/11184	---MCZ	200	added ('OK')	text/css	date:Sat,%2018%20Aug%202018%2005:17:59%20GMT	http://casadoalgoritmo.000webhostapp.com/css/agency.min.css	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/css/agency.min.css	(from http://casadoalgoritmo.000webhostapp.com/)
02:38:14	140930/140930	---MCZ	200	added ('OK')	text/css	date:Sat,%2018%20Aug%202018%2005:18:23%20GMT	http://casadoalgoritmo.000webhostapp.com/vendor/bootstrap/css/bootstrap.min.css	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/vendor/bootstrap/css/bootstrap.min.css	(from http://casadoalgoritmo.000webhostapp.com/)
02:38:14	16792/16792	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Aug%202018%2005:18:14%20GMT	http://casadoalgoritmo.000webhostapp.com/img/portfolio/01-thumbnail.jpg	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/img/portfolio/01-thumbnail.jpg	(from http://casadoalgoritmo.000webhostapp.com/)
02:38:15	46930/46930	---MCZ	200	added ('OK')	text/css	etag:W/%2220a9ce516eaea76da29a23adc43e8998%22	https://use.fontawesome.com/releases/v5.2.0/css/all.css	C:/Meus%20Sites/teste/use.fontawesome.com/releases/v5.2.0/css/all.css	(from http://casadoalgoritmo.000webhostapp.com/)
02:38:16	16459/16459	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Aug%202018%2005:18:15%20GMT	http://casadoalgoritmo.000webhostapp.com/img/portfolio/02-thumbnail.jpg	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/img/portfolio/02-thumbnail.jpg	(from http://casadoalgoritmo.000webhostapp.com/)
02:38:17	16604/16604	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Aug%202018%2005:18:15%20GMT	http://casadoalgoritmo.000webhostapp.com/img/portfolio/03-thumbnail.jpg	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/img/portfolio/03-thumbnail.jpg	(from http://casadoalgoritmo.000webhostapp.com/)
02:38:18	16561/16561	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Aug%202018%2005:18:17%20GMT	http://casadoalgoritmo.000webhostapp.com/img/portfolio/04-thumbnail.jpg	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/img/portfolio/04-thumbnail.jpg	(from http://casadoalgoritmo.000webhostapp.com/)
02:38:18	6987/6987	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Aug%202018%2005:18:10%20GMT	http://casadoalgoritmo.000webhostapp.com/img/about/1.jpg	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/img/about/1.jpg	(from http://casadoalgoritmo.000webhostapp.com/)
02:38:19	13609/13609	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Aug%202018%2005:18:18%20GMT	http://casadoalgoritmo.000webhostapp.com/img/portfolio/06-thumbnail.jpg	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/img/portfolio/06-thumbnail.jpg	(from http://casadoalgoritmo.000webhostapp.com/)
02:38:19	24273/24273	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Aug%202018%2005:18:17%20GMT	http://casadoalgoritmo.000webhostapp.com/img/portfolio/05-thumbnail.jpg	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/img/portfolio/05-thumbnail.jpg	(from http://casadoalgoritmo.000webhostapp.com/)
02:38:19	7338/7338	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Aug%202018%2005:18:11%20GMT	http://casadoalgoritmo.000webhostapp.com/img/about/3.jpg	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/img/about/3.jpg	(from http://casadoalgoritmo.000webhostapp.com/)
02:38:20	4902/4902	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Aug%202018%2005:18:12%20GMT	http://casadoalgoritmo.000webhostapp.com/img/about/4.jpg	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/img/about/4.jpg	(from http://casadoalgoritmo.000webhostapp.com/)
02:38:20	15337/15337	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Aug%202018%2005:18:11%20GMT	http://casadoalgoritmo.000webhostapp.com/img/about/2.jpg	C:/Meus%20Sites/teste/casadoalgoritmo.000webhostapp.com/img/about/2.jpg	(from http://casadoalgoritmo.000webhostapp.com/)
